# snap  time[Myr]  R_bin(kpc)  warp[deg]  h_z[kpc]
236    3371.43   15.74  102.06    3.546
236    3371.43   18.60     nan      nan
236    3371.43   21.47     nan      nan
236    3371.43   24.33     nan      nan
236    3371.43   27.19     nan      nan
237    3385.71    1.42  112.98    0.428
237    3385.71    4.26  113.75    0.736
237    3385.71    7.11  114.24    0.862
237    3385.71    9.95  113.79    1.298
237    3385.71   12.79  113.20    1.881
237    3385.71   15.64  103.36    3.462
237    3385.71   18.48     nan      nan
237    3385.71   21.32     nan      nan
237    3385.71   24.17     nan      nan
237    3385.71   27.01     nan      nan
238    3400.00    1.41  113.22    0.431
238    3400.00    4.24  113.90    0.732
238    3400.00    7.06  114.03    0.887
238    3400.00    9.88  114.05    1.216
238    3400.00   12.71  112.96    1.869
238    3400.00   15.53  104.35    3.262
238    3400.00   18.35     nan      nan
238    3400.00   21.18     nan      nan
238    3400.00   24.00     nan      nan
238    3400.00   26.82     nan      nan
239    3414.29    1.40  113.45    0.427
239    3414.29    4.20  113.68    0.726
239    3414.29    7.01  114.09    0.892
239    3414.29    9.81  114.14    1.206
239    3414.29   12.61  113.31    1.778
239    3414.29   15.42  105.87    3.124
239    3414.29   18.22     nan      nan
239    3414.29   21.02     nan      nan
239    3414.29   23.83     nan      nan
239    3414.29   26.63     nan      nan
240    3428.57    1.39  113.03    0.433
240    3428.57    4.17  113.92    0.726
240    3428.57    6.96  113.92    0.877
240    3428.57    9.74  114.48    1.142
240    3428.57   12.52  114.23    1.716
240    3428.57   15.31  105.53    3.217
240    3428.57   18.09   90.78    4.296
240    3428.57   20.87     nan      nan
240    3428.57   23.65     nan      nan
240    3428.57   26.44     nan      nan
241    3442.86    1.38  112.82    0.438
241    3442.86    4.14  113.77    0.748
241    3442.86    6.90  114.26    0.841
241    3442.86    9.66  114.18    1.112
241    3442.86   12.42  114.16    1.718
241    3442.86   15.18  105.78    3.154
241    3442.86   17.94     nan      nan
241    3442.86   20.70     nan      nan
241    3442.86   23.46     nan      nan
241    3442.86   26.22     nan      nan
242    3457.14    1.37  112.63    0.432
242    3457.14    4.10  113.55    0.759
242    3457.14    6.83  114.21    0.820
242    3457.14    9.57  114.15    1.062
242    3457.14   12.30  114.17    1.750
242    3457.14   15.03  106.99    3.035
242    3457.14   17.76     nan      nan
242    3457.14   20.50     nan      nan
242    3457.14   23.23     nan      nan
242    3457.14   25.96     nan      nan
243    3471.43    1.36  112.47    0.429
243    3471.43    4.07  113.50    0.760
243    3471.43    6.78  114.18    0.826
243    3471.43    9.49  114.35    1.015
243    3471.43   12.20  114.09    1.789
243    3471.43   14.91  108.45    2.875
243    3471.43   17.62     nan      nan
243    3471.43   20.33     nan      nan
243    3471.43   23.04     nan      nan
243    3471.43   25.76     nan      nan
244    3485.71    1.34  112.28    0.425
244    3485.71    4.03  113.46    0.760
244    3485.71    6.71  114.25    0.812
244    3485.71    9.40  114.43    1.003
244    3485.71   12.08  114.59    1.751
244    3485.71   14.76  107.71    2.977
244    3485.71   17.45     nan      nan
244    3485.71   20.13     nan      nan
244    3485.71   22.82     nan      nan
244    3485.71   25.50     nan      nan
245    3500.00    1.33  112.17    0.426
245    3500.00    3.99  113.43    0.738
245    3500.00    6.65  114.21    0.867
245    3500.00    9.31  114.48    1.007
245    3500.00   11.97  114.79    1.638
245    3500.00   14.63  110.17    2.895
245    3500.00   17.29     nan      nan
245    3500.00   19.95     nan      nan
245    3500.00   22.60     nan      nan
245    3500.00   25.26     nan      nan
246    3514.29    1.32  111.60    0.432
246    3514.29    3.95  113.83    0.726
246    3514.29    6.58  114.10    0.888
246    3514.29    9.22  114.77    0.985
246    3514.29   11.85  114.81    1.608
246    3514.29   14.48  110.95    2.843
246    3514.29   17.11   96.56    3.956
246    3514.29   19.75     nan      nan
246    3514.29   22.38     nan      nan
246    3514.29   25.01     nan      nan
247    3528.57    1.30  111.44    0.414
247    3528.57    3.91  113.55    0.742
247    3528.57    6.51  114.15    0.871
247    3528.57    9.12  115.26    1.011
247    3528.57   11.72  114.37    1.743
247    3528.57   14.32  112.88    2.658
247    3528.57   16.93  100.69    3.257
247    3528.57   19.53     nan      nan
247    3528.57   22.14     nan      nan
247    3528.57   24.74     nan      nan
248    3542.86    1.29  111.56    0.413
248    3542.86    3.86  113.50    0.729
248    3542.86    6.44  114.28    0.891
248    3542.86    9.01  115.23    1.005
248    3542.86   11.58  114.18    1.649
248    3542.86   14.16  113.41    2.595
248    3542.86   16.73  108.64    2.679
248    3542.86   19.31     nan      nan
248    3542.86   21.88     nan      nan
248    3542.86   24.45     nan      nan
249    3557.14    1.27  111.38    0.419
249    3557.14    3.81  113.37    0.727
249    3557.14    6.35  114.19    0.882
249    3557.14    8.89  115.38    1.005
249    3557.14   11.43  113.96    1.636
249    3557.14   13.97  114.46    2.404
249    3557.14   16.51  109.86    2.811
249    3557.14   19.05     nan      nan
249    3557.14   21.59     nan      nan
249    3557.14   24.12     nan      nan
250    3571.43    1.25  111.58    0.410
250    3571.43    3.75  113.08    0.754
250    3571.43    6.26  114.24    0.827
250    3571.43    8.76  115.17    1.044
250    3571.43   11.26  113.42    1.593
250    3571.43   13.76  114.49    2.335
250    3571.43   16.27  110.84    2.749
250    3571.43   18.77     nan      nan
250    3571.43   21.27     nan      nan
250    3571.43   23.77     nan      nan
251    3585.71    1.23  111.98    0.406
251    3585.71    3.70  112.76    0.755
251    3585.71    6.16  114.24    0.818
251    3585.71    8.63  114.79    1.072
251    3585.71   11.09  113.65    1.459
251    3585.71   13.56  114.27    2.138
251    3585.71   16.02  112.21    3.165
251    3585.71   18.49     nan      nan
251    3585.71   20.95     nan      nan
251    3585.71   23.42     nan      nan
252    3600.00    1.22  111.98    0.414
252    3600.00    3.65  112.99    0.741
252    3600.00    6.09  114.20    0.811
252    3600.00    8.53  114.43    1.157
252    3600.00   10.96  114.33    1.212
252    3600.00   13.40  113.69    2.077
252    3600.00   15.83  113.05    3.075
252    3600.00   18.27     nan      nan
252    3600.00   20.71     nan      nan
252    3600.00   23.14     nan      nan
253    3614.29    1.20  112.78    0.418
253    3614.29    3.60  112.92    0.724
253    3614.29    6.01  114.01    0.806
253    3614.29    8.41  114.39    1.165
253    3614.29   10.81  113.93    1.259
253    3614.29   13.22  114.67    1.857
253    3614.29   15.62  112.14    3.036
253    3614.29   18.02  107.26    2.500
253    3614.29   20.43     nan      nan
253    3614.29   22.83     nan      nan
254    3628.57    1.18  113.21    0.418
254    3628.57    3.55  113.18    0.716
254    3628.57    5.92  113.69    0.825
254    3628.57    8.29  114.47    1.047
254    3628.57   10.66  113.69    1.349
254    3628.57   13.03  114.48    1.889
254    3628.57   15.40  112.68    2.992
254    3628.57   17.77  108.09    2.418
254    3628.57   20.14     nan      nan
254    3628.57   22.51     nan      nan
255    3642.86    1.17  113.19    0.408
255    3642.86    3.51  113.73    0.715
255    3642.86    5.85  113.41    0.842
255    3642.86    8.19  114.48    0.986
255    3642.86   10.53  113.63    1.438
255    3642.86   12.87  114.54    1.803
255    3642.86   15.21  112.53    2.783
255    3642.86   17.55  109.37    2.362
255    3642.86   19.89     nan      nan
255    3642.86   22.23     nan      nan
256    3657.14    1.16  113.08    0.410
256    3657.14    3.47  114.06    0.730
256    3657.14    5.78  113.38    0.829
256    3657.14    8.09  114.48    0.950
256    3657.14   10.40  113.83    1.393
256    3657.14   12.71  113.98    1.954
256    3657.14   15.03  113.19    2.581
256    3657.14   17.34  110.07    2.346
256    3657.14   19.65     nan      nan
256    3657.14   21.96     nan      nan
257    3671.43    1.14  114.16    0.430
257    3671.43    3.43  113.65    0.700
257    3671.43    5.71  113.53    0.815
257    3671.43    7.99  114.17    0.968
257    3671.43   10.28  114.19    1.250
257    3671.43   12.56  113.86    2.026
257    3671.43   14.85  112.30    2.550
257    3671.43   17.13  111.34    2.490
257    3671.43   19.41     nan      nan
257    3671.43   21.70     nan      nan
258    3685.71    1.13  114.18    0.422
258    3685.71    3.39  113.77    0.709
258    3685.71    5.64  113.69    0.798
258    3685.71    7.90  114.12    0.964
258    3685.71   10.16  114.40    1.171
258    3685.71   12.41  113.26    1.934
258    3685.71   14.67  111.21    2.934
258    3685.71   16.93  114.21    1.761
258    3685.71   19.18     nan      nan
258    3685.71   21.44     nan      nan
259    3700.00    1.12  114.33    0.409
259    3700.00    3.35  113.69    0.730
259    3700.00    5.59  113.72    0.774
259    3700.00    7.82  114.49    0.942
259    3700.00   10.05  114.27    1.306
259    3700.00   12.29  113.46    1.722
259    3700.00   14.52  110.52    2.887
259    3700.00   16.76  114.52    1.999
259    3700.00   18.99     nan      nan
259    3700.00   21.22     nan      nan
260    3714.29    1.11  114.25    0.409
260    3714.29    3.32  113.62    0.726
260    3714.29    5.54  114.26    0.793
260    3714.29    7.75  114.23    0.913
260    3714.29    9.97  114.51    1.299
260    3714.29   12.19  114.53    1.470
260    3714.29   14.40  109.50    2.814
260    3714.29   16.62  111.36    2.994
260    3714.29   18.83     nan      nan
260    3714.29   21.05     nan      nan
261    3728.57    1.10  114.42    0.404
261    3728.57    3.30  113.68    0.723
261    3728.57    5.50  114.32    0.798
261    3728.57    7.70  114.27    0.906
261    3728.57    9.90  114.67    1.226
261    3728.57   12.09  114.62    1.614
261    3728.57   14.29  110.68    2.738
261    3728.57   16.49  109.09    2.909
261    3728.57   18.69     nan      nan
261    3728.57   20.89     nan      nan
262    3742.86    1.09  115.14    0.396
262    3742.86    3.27  113.68    0.728
262    3742.86    5.46  114.38    0.807
262    3742.86    7.64  114.17    0.961
262    3742.86    9.82  114.86    1.163
262    3742.86   12.00  115.86    1.633
262    3742.86   14.18  109.39    2.614
262    3742.86   16.37  108.85    2.978
262    3742.86   18.55     nan      nan
262    3742.86   20.73     nan      nan
263    3757.14    1.09  115.63    0.404
263    3757.14    3.26  114.04    0.734
263    3757.14    5.43  114.35    0.784
263    3757.14    7.61  114.46    0.970
263    3757.14    9.78  115.18    1.204
263    3757.14   11.95  116.02    1.665
263    3757.14   14.12  110.14    2.462
263    3757.14   16.30  107.40    2.973
263    3757.14   18.47     nan      nan
263    3757.14   20.64     nan      nan
264    3771.43    1.08  115.76    0.403
264    3771.43    3.25  114.22    0.727
264    3771.43    5.42  114.71    0.795
264    3771.43    7.59  114.49    0.971
264    3771.43    9.75  115.63    1.245
264    3771.43   11.92  116.02    1.581
264    3771.43   14.09  110.76    2.394
264    3771.43   16.26  108.13    3.001
264    3771.43   18.42     nan      nan
264    3771.43   20.59     nan      nan
265    3785.71    1.08  115.47    0.406
265    3785.71    3.25  114.89    0.706
265    3785.71    5.41  114.62    0.849
265    3785.71    7.58  115.04    0.920
265    3785.71    9.74  115.37    1.283
265    3785.71   11.91  115.59    1.728
265    3785.71   14.07  113.32    2.062
265    3785.71   16.24  106.06    3.226
265    3785.71   18.40     nan      nan
265    3785.71   20.57     nan      nan
266    3800.00    1.08  115.96    0.405
266    3800.00    3.25  114.95    0.706
266    3800.00    5.42  114.80    0.844
266    3800.00    7.59  115.51    0.940
266    3800.00    9.75  115.49    1.357
266    3800.00   11.92  115.61    1.723
266    3800.00   14.09  113.00    2.106
266    3800.00   16.25  105.40    3.250
266    3800.00   18.42     nan      nan
266    3800.00   20.59     nan      nan
267    3814.29    1.09  116.57    0.402
267    3814.29    3.26  115.00    0.711
267    3814.29    5.43  115.15    0.844
267    3814.29    7.60  116.05    0.965
267    3814.29    9.77  115.04    1.392
267    3814.29   11.94  115.54    1.763
267    3814.29   14.11  112.94    1.894
267    3814.29   16.28  104.35    3.577
267    3814.29   18.46     nan      nan
267    3814.29   20.63     nan      nan
268    3828.57    1.09  116.57    0.408
268    3828.57    3.26  115.27    0.734
268    3828.57    5.44  115.54    0.826
268    3828.57    7.61  116.45    1.018
268    3828.57    9.79  115.23    1.312
268    3828.57   11.96  114.94    1.879
268    3828.57   14.13  113.60    2.160
268    3828.57   16.31  103.75    3.402
268    3828.57   18.48     nan      nan
268    3828.57   20.66     nan      nan
269    3842.86    1.09  116.93    0.412
269    3842.86    3.27  115.69    0.747
269    3842.86    5.45  115.95    0.821
269    3842.86    7.62  116.67    1.056
269    3842.86    9.80  115.41    1.319
269    3842.86   11.98  115.24    1.927
269    3842.86   14.16  113.41    2.126
269    3842.86   16.34  104.72    3.463
269    3842.86   18.52     nan      nan
269    3842.86   20.70     nan      nan
270    3857.14    1.09  116.91    0.409
270    3857.14    3.28  116.12    0.760
270    3857.14    5.47  116.53    0.818
270    3857.14    7.65  116.83    1.072
270    3857.14    9.84  116.20    1.238
270    3857.14   12.02  115.44    2.076
270    3857.14   14.21  112.43    2.358
270    3857.14   16.40  105.65    3.336
270    3857.14   18.58     nan      nan
270    3857.14   20.77     nan      nan
271    3871.43    1.10  117.10    0.420
271    3871.43    3.29  116.66    0.742
271    3871.43    5.49  116.89    0.820
271    3871.43    7.69  116.96    1.066
271    3871.43    9.88  116.45    1.275
271    3871.43   12.08  115.14    2.198
271    3871.43   14.28  113.04    2.370
271    3871.43   16.47  105.79    3.355
271    3871.43   18.67     nan      nan
271    3871.43   20.87     nan      nan
272    3885.71    1.10  117.64    0.412
272    3885.71    3.30  117.47    0.727
272    3885.71    5.51  117.04    0.827
272    3885.71    7.71  116.94    1.029
272    3885.71    9.91  117.19    1.295
272    3885.71   12.11  114.86    2.248
272    3885.71   14.32  111.70    2.595
272    3885.71   16.52  104.37    3.583
272    3885.71   18.72     nan      nan
272    3885.71   20.92     nan      nan
273    3900.00    1.10  118.67    0.403
273    3900.00    3.31  117.87    0.734
273    3900.00    5.52  117.30    0.827
